seed,protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,real_mean_value,synthetic_mean_value,synthetic_negative_value_rate,source_task_value_gap
2029,P3,credit,CTGAN,replace,0.5,knn_shapley,0.0006881864840503345,0.0007190135159495948,0.154,-3.082703189926034e-05
2029,P3,credit,CTGAN,replace,0.75,data_oob,0.7616132796378502,0.7640054983692144,0.0,-0.002392218731364193
2029,P3,credit,CTGAN,replace,0.75,knn_shapley,0.0007410570755147348,0.0006836476414950454,0.17333333333333334,5.7409434019689456e-05
2029,P3,credit,CTGAN,replace,1.0,data_oob,,0.7839965196610753,0.0,
2029,P3,credit,CTGAN,replace,1.0,knn_shapley,,0.0007039999999999647,0.147,
2029,P4,credit,TVAE,append,0.0,data_oob,0.7858758218268171,,,
2029,P4,credit,TVAE,append,0.0,knn_shapley,0.0007099999999999643,,,
2029,P4,credit,TVAE,append,0.050332383665717,data_oob,0.7777433590734022,0.8685080270730156,0.0,-0.09076466799961336
2029,P4,credit,TVAE,append,0.050332383665717,knn_shapley,0.0006933935448520298,0.0010175226478107181,0.06,-0.0003241291029586884
2029,P4,credit,TVAE,append,0.0999099909990999,data_oob,0.7962690197784246,0.8787151268985666,0.0,-0.082446107120142
2029,P4,credit,TVAE,append,0.0999099909990999,knn_shapley,0.0006702838101070965,0.000979445709035753,0.05,-0.0003091618989286566
2029,P4,credit,TVAE,append,0.2498124531132783,data_oob,0.7846741088260932,0.8439512063562504,0.0,-0.0592770975301572
2029,P4,credit,TVAE,append,0.2498124531132783,knn_shapley,0.0006514262192916462,0.0009505425501835221,0.09375,-0.00029911633089187584
2029,P4,credit,TVAE,append,0.5,data_oob,0.7716544226691484,0.8969814424080174,0.0,-0.12532701973886895
2029,P4,credit,TVAE,append,0.5,knn_shapley,0.0005756307426987913,0.0008960426665199876,0.045275590551181105,-0.00032041192382119635
2029,P4,credit,TVAE,append,0.75,data_oob,0.7584229205519414,0.8841289788452944,0.0,-0.12570605829335302
2029,P4,credit,TVAE,append,0.75,knn_shapley,0.0004838404021845896,0.0008024531992717498,0.06133333333333333,-0.0003186127970871602
2029,P4,credit,TVAE,replace,0.0,data_oob,0.7858758218268171,,,
2029,P4,credit,TVAE,replace,0.0,knn_shapley,0.0007099999999999643,,,
2029,P4,credit,TVAE,replace,0.05,data_oob,0.7820814406013582,0.8784170523541427,0.0,-0.09633561175278449
2029,P4,credit,TVAE,replace,0.05,knn_shapley,0.000663695585257002,0.0011177838801162674,0.06,-0.00045408829485926543
2029,P4,credit,TVAE,replace,0.1,data_oob,0.7854106503399043,0.8314082169643594,0.0,-0.04599756662445509
2029,P4,credit,TVAE,replace,0.1,knn_shapley,0.0006859810344574901,0.0009581706898822187,0.06,-0.00027218965542472853
2029,P4,credit,TVAE,replace,0.25,data_oob,0.7621105454116056,0.8454841653057982,0.0,-0.08337361989419256
2029,P4,credit,TVAE,replace,0.25,knn_shapley,0.0006218665016616906,0.0009680004950147927,0.096,-0.00034613399335310213
2029,P4,credit,TVAE,replace,0.5,data_oob,0.7657171699129404,0.8820275201662124,0.0,-0.11631035025327208
2029,P4,credit,TVAE,replace,0.5,knn_shapley,0.0005684442640907366,0.0008811557359091873,0.074,-0.00031271147181845076
2029,P4,credit,TVAE,replace,0.75,data_oob,0.7745332195312735,0.8868932504947203,0.0,-0.11236003096344682
2029,P4,credit,TVAE,replace,0.75,knn_shapley,0.0004885420778231858,0.0007987526407255509,0.07066666666666667,-0.000310210562902365
2029,P4,credit,TVAE,replace,1.0,data_oob,,0.8743570232062289,0.0,
2029,P4,credit,TVAE,replace,1.0,knn_shapley,,0.00074839999999996,0.085,
2030,P1,adult,CTGAN,append,0.0,data_oob,0.8264422720771092,,,
2030,P1,adult,CTGAN,append,0.0,knn_shapley,0.0007655999999999656,,,
2030,P1,adult,CTGAN,append,0.050332383665717,data_oob,0.8482941323987754,0.8945225531882414,0.0,-0.046228420789465985
2030,P1,adult,CTGAN,append,0.050332383665717,knn_shapley,0.0007934270670388275,0.0008582911624453501,0.1346153846153846,-6.486409540652262e-05
2030,P1,adult,CTGAN,append,0.0999099909990999,data_oob,0.8069653855199101,0.8359956229132267,0.0,-0.02903023739331656
2030,P1,adult,CTGAN,append,0.0999099909990999,knn_shapley,0.0007314998094923689,0.0008156601115477695,0.0891089108910891,-8.416030205540056e-05
