protocol,detector,calibration_policy,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,target_real_anchor,append,0.050332383665717,decision_regret,5,0.00039128012692342406,0.00043541747203570133,-0.00014936207229220054,0.0009319223261390487
P1,c2st_lr,target_real_anchor,append,0.0999099909990999,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,append,0.0999099909990999,contaminated_utility_delta,5,0.00045941775493377364,0.0018992490628323947,-0.0018988114300074492,0.0028176469398749964
P1,c2st_lr,target_real_anchor,append,0.0999099909990999,detector_cleanup_delta,5,6.379761855749202e-05,0.0014969684098922347,-0.0017949341624540313,0.0019225293995690155
P1,c2st_lr,target_real_anchor,append,0.0999099909990999,decision_regret,5,0.0003173239388735894,0.00028741703006052497,-3.955143982321352e-05,0.0006741993175703923
P1,c2st_lr,target_real_anchor,append,0.2498124531132783,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,append,0.2498124531132783,contaminated_utility_delta,5,0.0011612561561281595,0.0015960077922026025,-0.0008204492603024864,0.0031429615725588056
P1,c2st_lr,target_real_anchor,append,0.2498124531132783,detector_cleanup_delta,5,0.00043394046195089996,0.002031863025224197,-0.002088950705751372,0.002956831629653172
P1,c2st_lr,target_real_anchor,append,0.2498124531132783,decision_regret,5,0.0010693257304186684,0.0005524584929400603,0.0003833579092330871,0.0017552935516042495
P1,c2st_lr,target_real_anchor,append,0.5,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,append,0.5,contaminated_utility_delta,5,0.0006980329701632795,0.0011150592904665927,-0.0006864960066717222,0.002082561946998281
P1,c2st_lr,target_real_anchor,append,0.5,detector_cleanup_delta,5,0.0005625954151631215,0.0014474887684315597,-0.0012346992764026513,0.0023598901067288943
P1,c2st_lr,target_real_anchor,append,0.5,decision_regret,5,0.0006026624583088719,0.0003138407640411268,0.0002129776804302422,0.0009923472361875016
P1,c2st_lr,target_real_anchor,append,0.75,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,append,0.75,contaminated_utility_delta,5,0.0006673256346091748,0.0014305221334925016,-0.0011089021971821037,0.002443553466400453
P1,c2st_lr,target_real_anchor,append,0.75,detector_cleanup_delta,5,1.5094336406432182e-05,0.0013891766485428746,-0.0017097962952346184,0.0017399849680474829
P1,c2st_lr,target_real_anchor,append,0.75,decision_regret,5,0.0009053242291313663,0.0007248717177045036,5.277113941562169e-06,0.0018053713443211706
P1,c2st_lr,target_real_anchor,replace,0.0,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,replace,0.0,contaminated_utility_delta,5,0.0019617881469842858,0.0024091826388047497,-0.0010296072007171145,0.004953183494685686
P1,c2st_lr,target_real_anchor,replace,0.0,detector_cleanup_delta,5,0.001854679729716304,0.003083536814295323,-0.0019740369197301243,0.005683396379162733
P1,c2st_lr,target_real_anchor,replace,0.0,decision_regret,5,0.0003193194207199987,0.00033335376854756206,-9.459395235105942e-05,0.0007332327937910569
P1,c2st_lr,target_real_anchor,replace,0.05,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,replace,0.05,contaminated_utility_delta,5,0.000981961711454388,0.0011112152373502554,-0.0003977942430188749,0.002361717665927651
P1,c2st_lr,target_real_anchor,replace,0.05,detector_cleanup_delta,5,0.0007894921483333159,0.0013773069056310578,-0.0009206602508661977,0.0024996445475328295
P1,c2st_lr,target_real_anchor,replace,0.05,decision_regret,5,0.0002256947896835761,0.0002356403856217646,-6.689139366582094e-05,0.0005182809730329731
P1,c2st_lr,target_real_anchor,replace,0.1,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,replace,0.1,contaminated_utility_delta,5,-0.0016563349166229002,0.0017045124746488405,-0.0037727666908835716,0.00046009685763777125
P1,c2st_lr,target_real_anchor,replace,0.1,detector_cleanup_delta,5,-0.0016322696463842799,0.0016423487418544909,-0.0036715149516402487,0.00040697565887168894
P1,c2st_lr,target_real_anchor,replace,0.1,decision_regret,5,0.0004113817448468908,0.0003922453181791689,-7.565514520016357e-05,0.0008984186348939451
P1,c2st_lr,target_real_anchor,replace,0.25,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,replace,0.25,contaminated_utility_delta,5,-0.0015615012498067758,0.0021663917672097204,-0.004251431913156115,0.0011284294135425637
P1,c2st_lr,target_real_anchor,replace,0.25,detector_cleanup_delta,5,-0.0020484174391642036,0.003007637921561831,-0.0057828931659999255,0.0016860582876715184
P1,c2st_lr,target_real_anchor,replace,0.25,decision_regret,5,0.000914286833250764,0.0007823408926414081,-5.711768746466861e-05,0.0018856913539661967
P1,c2st_lr,target_real_anchor,replace,0.5,detection_auroc,5,0.7025591795486675,0.004812292130375425,0.696583929661541,0.708534429435794
P1,c2st_lr,target_real_anchor,replace,0.5,contaminated_utility_delta,5,-0.0039045991161367013,0.002477022889296461,-0.006980229260502784,-0.0008289689717706182
P1,c2st_lr,target_real_anchor,replace,0.5,detector_cleanup_delta,5,-0.004100769508084879,0.0027801045086706918,-0.007552725187745241,-0.0006488138284245163
